Time,IE,IT,US,TW,KR
14.04.2021,408.7223485,267.6628625,354.64,463.96,414
15.04.2021,337.8956808,283.9893374,354.64,465.62,411.45
16.04.2021,261.7012469,261.1572078,354.64,468.18,405.63
17.04.2021,186.210803,234.9857705,354.64,465.54,381.31
18.04.2021,310.7464955,266.6254431,354.64,461.39,377.63
19.04.2021,340.8737738,285.6847954,342.15,465.15,399.85
20.04.2021,395.0969624,289.711879,345.64,474.72,403.26
21.04.2021,314.4282462,287.2289427,362.74,466.59,404.77
22.04.2021,266.2255576,291.0892496,341.86,472.05,408.96
23.04.2021,223.9765486,254.4038227,337.37,466.99,412.82
24.04.2021,220.189911,217.4084238,349.42,470.86,388.36
25.04.2021,249.4786044,239.8305234,316.55,492.44,388.88
26.04.2021,371.4528475,262.4868541,306.23,476.95,421.34
27.04.2021,256.9452067,277.7062847,316.21,486.23,430.45
28.04.2021,265.50804,279.3488578,349.7,480.83,429.65
29.04.2021,435.0843384,273.8188363,351.7,485.97,428.63
30.04.2021,456.2538214,259.5208196,359.73,471.68,422.13
01.05.2021,405.3535852,220.4219513,329.15,468.29,400.33
02.05.2021,390.9214127,192.1829108,317.44,468.25,395.17
03.05.2021,119.0696749,237.2813395,336.7,489.37,414.99
04.05.2021,134.8800553,250.9427274,344.57,483.29,416.22
05.05.2021,344.8453696,222.0298402,370.92,473.02,397.27
06.05.2021,340.6604822,220.8068068,349.35,475.25,406.29
07.05.2021,304.2243106,209.4343014,330.97,474.9,402.65
08.05.2021,152.6202237,207.9848182,302.15,483.35,378.44
09.05.2021,130.499232,220.0540407,302.15,485.37,382.32
10.05.2021,221.4642573,235.4912222,302.15,479.16,418.09
11.05.2021,230.4744801,231.5680039,366.71,474.45,416.11
12.05.2021,425.0226662,192.7179076,366.54,475.99,413.84
13.05.2021,400.4511167,182.3964442,364.08,468.76,414.66
14.05.2021,357.8979376,196.593058,334.3,476.25,416.43
15.05.2021,317.9197847,173.2165669,334.06,478.3,402.69
16.05.2021,383.0600039,176.0098544,346.39,477.48,401.6
17.05.2021,409.5574965,182.1032274,352.46,476.04,420.64
18.05.2021,422.5338682,194.9397434,349.28,482.61,413.58
19.05.2021,387.8475308,181.5913083,367.52,481.91,403.26
20.05.2021,120.1480104,186.9394891,359.25,480.52,420.33
21.05.2021,147.6304524,208.9687264,359.25,477.79,410.38
22.05.2021,291.4249454,168.3981886,359.25,476.87,385.51
23.05.2021,232.0867967,188.9512431,359.25,472.28,381.54
24.05.2021,182.0805666,217.8856766,360.01,473.7,406.88
25.05.2021,350.3177315,205.1945034,360.01,472.95,406.45
26.05.2021,461.6769136,222.3793496,360.01,472.84,406.05
27.05.2021,309.7588278,229.3409687,358.93,470.5,407.77
28.05.2021,451.0968456,214.8694362,348.28,472.48,400.93
29.05.2021,462.2470513,208.0500188,338.78,482.26,393.92
30.05.2021,362.8299745,189.7878527,338.35,491.99,391.32
31.05.2021,217.1997752,202.742968,349.58,479.4,417.8
01.06.2021,371.921751,201.9104312,381.89,474.98,420.68
02.06.2021,377.9691903,215.9131755,391.13,471.82,421.59
03.06.2021,245.9295881,232.9055528,385.16,472.81,423.46
04.06.2021,259.2622347,229.9746614,374.94,471.24,413.58
05.06.2021,414.4553899,206.1755488,374.94,471.32,396.01
06.06.2021,428.6500087,194.1718417,361.59,480.25,396.76
